positionName,company,location,min_salary,max_salary,skills,skill_categories,skills_count_single
Machine Learning Compiler Architect,Apple,"Sunnyvale, CA",207800.0,378700.0,"['c++', 'optimization', 'deep learning']","[0, 1, 2]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Senior Data Scientist,SalesPoint Pvt. Ltd.,Remote,145600.0,156000.0,"['python', 'optimization', 'machine learning', 'generative ai', 'llm', 'rag', 'prompt engineering', 'data science', 'tensorflow', 'pytorch', 'physics']","[0, 1, 2, 2, 2, 2, 2, 2, 3, 3, 10]","[1.0, 1.0, 6.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
Senior AI Engineer,HCA Healthcare,"Nashville, TN 37203",142329.54,210327.022,"['python', 'nlp', 'large language models', 'tensorflow', 'pytorch', 'transformers', 'spacy', 'nltk', 'sql', 'vertex ai', 'llmops', 'flask']","[0, 2, 2, 3, 3, 3, 3, 3, 5, 6, 8, 8]","[1.0, 0.0, 2.0, 5.0, 0.0, 1.0, 1.0, 0.0, 2.0, 0.0, 0.0]"
"AI Solutions Architect, Data Solutions & Initiatives",Apple,"Cupertino, CA",175800.0,264200.0,"['python', 'optimization', 'generative ai', 'llm', 'prompt engineering', 'artificial intelligence', 'vector databases', 'tensorflow', 'pytorch', 'transformers', 'aws', 'azure', 'gcp', 'docker', 'kubernetes', 'finance', 'communication skills']","[0, 1, 2, 2, 2, 2, 2, 3, 3, 3, 6, 6, 6, 6, 6, 10, 10]","[1.0, 1.0, 5.0, 3.0, 0.0, 0.0, 5.0, 0.0, 0.0, 0.0, 2.0]"
Data Scientist,JPMorganChase,"Jersey City, NJ 07310",165400.0,195000.0,"['python', 'statistics', 'optimization', 'machine learning', 'artificial intelligence', 'data science', 'numpy', 'pandas', 'xgboost', 'data infrastructure', 'sql', 'dynamodb', 'data modeling', 'aws', 'model evaluation', 'model interpretability', 'finance']","[0, 1, 1, 2, 2, 2, 3, 3, 3, 4, 5, 5, 5, 6, 8, 8, 10]","[1.0, 2.0, 3.0, 3.0, 1.0, 3.0, 1.0, 0.0, 2.0, 0.0, 1.0]"
AI/ML ﻿Researcher,DGN Technologies,"Mountain View, CA 94035",145600.0,208000.0,"['optimization', 'natural language processing', 'reinforcement learning', 'large language models', 'llm', 'ai/ml', 'model deployment']","[1, 2, 2, 2, 2, 2, 8]","[0.0, 1.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
Data Scientist – Generative AI and Document Extraction,TIA Infotek inc,"Addison, TX 75001",92622.4,111529.6,"['nlp', 'generative ai']","[2, 2]","[0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Senior Associate, Analytics & AI Analyst",New York Life Insurance Co,"New York, NY",95000.0,162500.0,"['python', 'optimization', 'machine learning', 'generative ai', 'large language models', 'llm', 'ai/ml', 'artificial intelligence', 'data science', 'hugging face', 'databricks', 'data pipelines', 'sql', 'aws', 'azure', 'model evaluation', 'security', 'communication skills']","[0, 1, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 5, 6, 6, 8, 10, 10]","[1.0, 1.0, 7.0, 1.0, 2.0, 1.0, 2.0, 0.0, 1.0, 0.0, 2.0]"
Data Scientist I - Curriculum Analytics,Western Governors University,"Salt Lake City, UT",95900.0,143800.0,"['python', 'r', 'statistics', 'classification', 'regression', 'machine learning', 'natural language processing', 'data pipelines', 'data engineering', 'sql', 'github', 'ci/cd', 'excel', 'tableau', 'power bi', 'finance', 'project management']","[0, 0, 1, 1, 1, 2, 2, 4, 4, 5, 6, 6, 7, 7, 7, 10, 10]","[2.0, 3.0, 2.0, 0.0, 2.0, 1.0, 2.0, 3.0, 0.0, 0.0, 2.0]"
Data Scientist,JPMorganChase,"Jersey City, NJ 07310",165400.0,195000.0,"['python', 'statistics', 'optimization', 'machine learning', 'artificial intelligence', 'data science', 'numpy', 'pandas', 'xgboost', 'data infrastructure', 'sql', 'dynamodb', 'data modeling', 'aws', 'model evaluation', 'model interpretability', 'finance']","[0, 1, 1, 2, 2, 2, 3, 3, 3, 4, 5, 5, 5, 6, 8, 8, 10]","[1.0, 2.0, 3.0, 3.0, 1.0, 3.0, 1.0, 0.0, 2.0, 0.0, 1.0]"
Associate Value Engineer (AI for Supply Chain) - Orbit Program,Celonis,"Raleigh, NC",111725.75649999996,189250.61760000003,"['python', 'machine learning', 'data science', 'big data', 'sql', 'oracle', 'tableau', 'power bi', 'economics', 'finance', 'communication skills']","[0, 2, 2, 4, 5, 5, 7, 7, 10, 10, 10]","[1.0, 0.0, 2.0, 0.0, 1.0, 2.0, 0.0, 2.0, 0.0, 0.0, 3.0]"
DIRECTOR DSA - DATA & TECHNOLOGY OPS,AbbVie,"North Chicago, IL",108714.85669999996,163777.06660000005,"['statistics', 'machine learning', 'artificial intelligence', 'data science', 'big data', 'data governance', 'project management', 'communication skills', 'bioinformatics']","[1, 2, 2, 2, 4, 10, 10, 10, 10]","[0.0, 1.0, 3.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0]"
AI/ML Engineer,"NUBYT, Inc.","Mountain View, CA 94043",176800.0,193440.0,"['java', 'kotlin', 'classification', 'clustering', 'optimization', 'machine learning', 'anomaly detection', 'ai/ml', 'tensorflow', 'pytorch', 'data pipelines', 'aws', 'gcp', 'sagemaker', 'vertex ai', 'model deployment', 'compliance', 'security', 'data governance', 'signal processing', 'federated learning']","[0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 4, 6, 6, 6, 6, 8, 10, 10, 10, 10, 10]","[2.0, 3.0, 3.0, 2.0, 1.0, 0.0, 4.0, 0.0, 1.0, 0.0, 5.0]"
Principal Statistician,EVERSANA,"Yardley, PA 19067",120000.0,140000.0,"['r', 'statistics', 'aws', 'git', 'excel', 'compliance']","[0, 1, 6, 6, 7, 10]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 1.0]"
"Principal, Microsoft AI Monetization Strategy",Microsoft,"Mountain View, CA 94043",130900.0,272300.0,"['economics', 'finance']","[10, 10]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0]"
Data Scientist,JPMorganChase,"Jersey City, NJ 07310",170000.0,210000.0,"['python', 'r', 'hypothesis testing', 'classification', 'regression', 'machine learning', 'deep learning', 'data science', 'predictive modeling', 'spark', 'hive', 'etl', 'data engineering', 'sql', 'aws', 'model deployment']","[0, 0, 1, 1, 1, 2, 2, 2, 2, 4, 4, 4, 4, 5, 6, 8]","[2.0, 3.0, 4.0, 0.0, 4.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
AI/ML Manager - Automation and Orchestration,CACI,"Springfield, VA 22150",131800.0,290000.0,"['machine learning', 'ai/ml', 'artificial intelligence', 'tensorflow', 'pytorch', 'aws', 'tableau', 'compliance', 'project management']","[2, 2, 2, 3, 3, 6, 7, 10, 10]","[0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0]"
